Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type
Seb.Rep.3.b.16.S249,Sebastes,Sebastes_2012_4_80_60_1_3,2012_4_80_60,2012,1,3,Sample,NA
Miu.1.b.12.S60,MiFish,MiFish_2011_4_80_60_1_1,2011_4_80_60,2011,1,1,Sample,NA
Miu.1.b.13.S61,MiFish,MiFish_2011_4_86.7_50_1_1,2011_4_86.7_50,2011,1,1,Sample,NA
Miu.1.b.14.S62,MiFish,MiFish_2011_4_93.3_30_1_1,2011_4_93.3_30,2011,1,1,Sample,NA
Miu.1.b.15.S63,MiFish,MiFish_2011_4_93.3_60_1_1,2011_4_93.3_60,2011,1,1,Sample,NA
Miu.2.b.12.S160,MiFish,MiFish_2011_4_80_60_1_2,2011_4_80_60,2011,1,2,Sample,NA
Miu.2.b.13.S161,MiFish,MiFish_2011_4_86.7_50_1_2,2011_4_86.7_50,2011,1,2,Sample,NA
Miu.2.b.14.S162,MiFish,MiFish_2011_4_93.3_30_1_2,2011_4_93.3_30,2011,1,2,Sample,NA
Miu.2.b.15.S163,MiFish,MiFish_2011_4_93.3_60_1_2,2011_4_93.3_60,2011,1,2,Sample,NA
Miu.3.b.12.S260,MiFish,MiFish_2011_4_80_60_1_3,2011_4_80_60,2011,1,3,Sample,NA
Miu.3.b.13.S261,MiFish,MiFish_2011_4_86.7_50_1_3,2011_4_86.7_50,2011,1,3,Sample,NA
Miu.3.b.14.S262,MiFish,MiFish_2011_4_93.3_30_1_3,2011_4_93.3_30,2011,1,3,Sample,NA
Miu.3.b.15.S263,MiFish,MiFish_2011_4_93.3_60_1_3,2011_4_93.3_60,2011,1,3,Sample,NA
Seb.Rep.1.long.b.12.S57,Sebastes,Sebastes_2011_4_80_60_1_1,2011_4_80_60,2011,1,1,Sample,NA
Seb.Rep.2.b.12.S151,Sebastes,Sebastes_2011_4_80_60_1_2,2011_4_80_60,2011,1,2,Sample,NA
Seb.Rep.3.b.12.S245,Sebastes,Sebastes_2011_4_80_60_1_3,2011_4_80_60,2011,1,3,Sample,NA
Seb.Rep.1.long.b.13.S58,Sebastes,Sebastes_2011_4_86.7_50_1_1,2011_4_86.7_50,2011,1,1,Sample,NA
Seb.Rep.2.b.13.S152,Sebastes,Sebastes_2011_4_86.7_50_1_2,2011_4_86.7_50,2011,1,2,Sample,NA
Seb.Rep.3.b.13.S246,Sebastes,Sebastes_2011_4_86.7_50_1_3,2011_4_86.7_50,2011,1,3,Sample,NA
Seb.Rep.1.long.b.14.S59,Sebastes,Sebastes_2011_4_93.3_30_1_1,2011_4_93.3_30,2011,1,1,Sample,NA
Seb.Rep.2.b.14.S153,Sebastes,Sebastes_2011_4_93.3_30_1_2,2011_4_93.3_30,2011,1,2,Sample,NA
Seb.Rep.3.b.14.S247,Sebastes,Sebastes_2011_4_93.3_30_1_3,2011_4_93.3_30,2011,1,3,Sample,NA
Seb.Rep.1.long.b.15.S60,Sebastes,Sebastes_2011_4_93.3_60_1_1,2011_4_93.3_60,2011,1,1,Sample,NA
Seb.Rep.2.b.15.S154,Sebastes,Sebastes_2011_4_93.3_60_1_2,2011_4_93.3_60,2011,1,2,Sample,NA
Seb.Rep.3.b.15.S248,Sebastes,Sebastes_2011_4_93.3_60_1_3,2011_4_93.3_60,2011,1,3,Sample,NA
Miu.1.b.09.S57,MiFish,MiFish_2010_5_80_60_1_1,2010_5_80_60,2010,1,1,Sample,NA
Miu.1.b.10.S58,MiFish,MiFish_2010_4_93.3_30_1_1,2010_4_93.3_30,2010,1,1,Sample,NA
Miu.1.b.11.S59,MiFish,MiFish_2010_4_93.3_60_1_1,2010_4_93.3_60,2010,1,1,Sample,NA
Miu.2.b.09.S157,MiFish,MiFish_2010_5_80_60_1_2,2010_5_80_60,2010,1,2,Sample,NA
Miu.2.b.10.S158,MiFish,MiFish_2010_4_93.3_30_1_2,2010_4_93.3_30,2010,1,2,Sample,NA
Miu.2.b.11.S159,MiFish,MiFish_2010_4_93.3_60_1_2,2010_4_93.3_60,2010,1,2,Sample,NA
Miu.3.b.09.S257,MiFish,MiFish_2010_5_80_60_1_3,2010_5_80_60,2010,1,3,Sample,NA
Miu.3.b.10.S258,MiFish,MiFish_2010_4_93.3_30_1_3,2010_4_93.3_30,2010,1,3,Sample,NA
Miu.3.b.11.S259,MiFish,MiFish_2010_4_93.3_60_1_3,2010_4_93.3_60,2010,1,3,Sample,NA
Seb.Rep.1.long.b.10.S55,Sebastes,Sebastes_2010_4_93.3_30_1_1,2010_4_93.3_30,2010,1,1,Sample,NA
Seb.Rep.2.b.10.S149,Sebastes,Sebastes_2010_4_93.3_30_1_2,2010_4_93.3_30,2010,1,2,Sample,NA
Seb.Rep.3.b.10.S243,Sebastes,Sebastes_2010_4_93.3_30_1_3,2010_4_93.3_30,2010,1,3,Sample,NA
Seb.Rep.1.long.b.11.S56,Sebastes,Sebastes_2010_4_93.3_60_1_1,2010_4_93.3_60,2010,1,1,Sample,NA
Seb.Rep.2.b.11.S150,Sebastes,Sebastes_2010_4_93.3_60_1_2,2010_4_93.3_60,2010,1,2,Sample,NA
Seb.Rep.3.b.11.S244,Sebastes,Sebastes_2010_4_93.3_60_1_3,2010_4_93.3_60,2010,1,3,Sample,NA
Seb.Rep.1.long.b.9.S54,Sebastes,Sebastes_2010_5_80_60_1_1,2010_5_80_60,2010,1,1,Sample,NA
Seb.Rep.2.b.9.S148,Sebastes,Sebastes_2010_5_80_60_1_2,2010_5_80_60,2010,1,2,Sample,NA
Seb.Rep.3.b.9.S242,Sebastes,Sebastes_2010_5_80_60_1_3,2010_5_80_60,2010,1,3,Sample,NA
Miu.1.b.03.S51,MiFish,MiFish_2009_3_80_60_1_1,2009_3_80_60,2009,1,1,Sample,NA
Miu.1.b.04.S52,MiFish,MiFish_2009_3_86.7_50_1_1,2009_3_86.7_50,2009,1,1,Sample,NA
Miu.1.b.05.S53,MiFish,MiFish_2009_3_86.7_50_2_1,2009_3_86.7_50,2009,2,1,Sample,NA
Miu.1.b.06.S54,MiFish,MiFish_2009_3_86.7_50_3_1,2009_3_86.7_50,2009,3,1,Sample,NA
Miu.1.b.07.S55,MiFish,MiFish_2009_3_93.3_30_1_1,2009_3_93.3_30,2009,1,1,Sample,NA
Miu.1.b.08.S56,MiFish,MiFish_2009_3_93.3_60_1_1,2009_3_93.3_60,2009,1,1,Sample,NA
Miu.2.b.03.S151,MiFish,MiFish_2009_3_80_60_1_2,2009_3_80_60,2009,1,2,Sample,NA
Miu.2.b.04.S152,MiFish,MiFish_2009_3_86.7_50_1_2,2009_3_86.7_50,2009,1,2,Sample,NA
Miu.2.b.05.S153,MiFish,MiFish_2009_3_86.7_50_2_2,2009_3_86.7_50,2009,2,2,Sample,NA
Miu.2.b.06.S154,MiFish,MiFish_2009_3_86.7_50_3_2,2009_3_86.7_50,2009,3,2,Sample,NA
Miu.2.b.07.S155,MiFish,MiFish_2009_3_93.3_30_1_2,2009_3_93.3_30,2009,1,2,Sample,NA
Miu.2.b.08.S156,MiFish,MiFish_2009_3_93.3_60_1_2,2009_3_93.3_60,2009,1,2,Sample,NA
Miu.3.b.03.S251,MiFish,MiFish_2009_3_80_60_1_3,2009_3_80_60,2009,1,3,Sample,NA
Miu.3.b.04.S252,MiFish,MiFish_2009_3_86.7_50_1_3,2009_3_86.7_50,2009,1,3,Sample,NA
Miu.3.b.05.S253,MiFish,MiFish_2009_3_86.7_50_2_3,2009_3_86.7_50,2009,2,3,Sample,NA
Miu.3.b.06.S254,MiFish,MiFish_2009_3_86.7_50_3_3,2009_3_86.7_50,2009,3,3,Sample,NA
Miu.3.b.07.S255,MiFish,MiFish_2009_3_93.3_30_1_3,2009_3_93.3_30,2009,1,3,Sample,NA
Miu.3.b.08.S256,MiFish,MiFish_2009_3_93.3_60_1_3,2009_3_93.3_60,2009,1,3,Sample,NA
Seb.Rep.1.long.b.3.S48,Sebastes,Sebastes_2009_3_80_60_1_1,2009_3_80_60,2009,1,1,Sample,NA
Seb.Rep.2.b.3.S142,Sebastes,Sebastes_2009_3_80_60_1_2,2009_3_80_60,2009,1,2,Sample,NA
Seb.Rep.3.b.3.S236,Sebastes,Sebastes_2009_3_80_60_1_3,2009_3_80_60,2009,1,3,Sample,NA
Seb.Rep.1.long.b.4.S49,Sebastes,Sebastes_2009_3_86.7_50_1_1,2009_3_86.7_50,2009,1,1,Sample,NA
Seb.Rep.2.b.4.S143,Sebastes,Sebastes_2009_3_86.7_50_1_2,2009_3_86.7_50,2009,1,2,Sample,NA
Seb.Rep.3.b.4.S237,Sebastes,Sebastes_2009_3_86.7_50_1_3,2009_3_86.7_50,2009,1,3,Sample,NA
Seb.Rep.1.long.b.5.S50,Sebastes,Sebastes_2009_3_86.7_50_2_1,2009_3_86.7_50,2009,2,1,Sample,NA
Seb.Rep.2.b.5.S144,Sebastes,Sebastes_2009_3_86.7_50_2_2,2009_3_86.7_50,2009,2,2,Sample,NA
Seb.Rep.3.b.5.S238,Sebastes,Sebastes_2009_3_86.7_50_2_3,2009_3_86.7_50,2009,2,3,Sample,NA
Seb.Rep.1.long.b.6.S51,Sebastes,Sebastes_2009_3_86.7_50_3_1,2009_3_86.7_50,2009,3,1,Sample,NA
Seb.Rep.2.b.6.S145,Sebastes,Sebastes_2009_3_86.7_50_3_2,2009_3_86.7_50,2009,3,2,Sample,NA
Seb.Rep.3.b.6.S239,Sebastes,Sebastes_2009_3_86.7_50_3_3,2009_3_86.7_50,2009,3,3,Sample,NA
Seb.Rep.1.long.b.7.S52,Sebastes,Sebastes_2009_3_93.3_30_1_1,2009_3_93.3_30,2009,1,1,Sample,NA
Seb.Rep.2.b.7.S146,Sebastes,Sebastes_2009_3_93.3_30_1_2,2009_3_93.3_30,2009,1,2,Sample,NA
Seb.Rep.3.b.7.S240,Sebastes,Sebastes_2009_3_93.3_30_1_3,2009_3_93.3_30,2009,1,3,Sample,NA
Seb.Redo.3.3.S147,Sebastes,Sebastes_2009_3_93.3_60_1_1,2009_3_93.3_60,2009,1,1,Sample,NA
Seb.Rep.1.long.b.8.S53,Sebastes,Sebastes_2009_3_93.3_60_1_2,2009_3_93.3_60,2009,1,2,Sample,NA
Seb.Rep.3.b.8.S241,Sebastes,Sebastes_2009_3_93.3_60_1_3,2009_3_93.3_60,2009,1,3,Sample,NA
Miu.1.a.46.S46,MiFish,MiFish_2008_4_86.7_50_1_1,2008_4_86.7_50,2008,1,1,Sample,NA
Miu.1.b.01.S49,MiFish,MiFish_2008_3_93.3_30_1_1,2008_3_93.3_30,2008,1,1,Sample,NA
Miu.1.b.02.S50,MiFish,MiFish_2008_3_93.3_60_1_1,2008_3_93.3_60,2008,1,1,Sample,NA
Miu.2.a.46.S146,MiFish,MiFish_2008_4_86.7_50_1_2,2008_4_86.7_50,2008,1,2,Sample,NA
Miu.2.b.01.S149,MiFish,MiFish_2008_3_93.3_30_1_2,2008_3_93.3_30,2008,1,2,Sample,NA
Miu.2.b.02.S150,MiFish,MiFish_2008_3_93.3_60_1_2,2008_3_93.3_60,2008,1,2,Sample,NA
Miu.3.a.46.S246,MiFish,MiFish_2008_4_86.7_50_1_3,2008_4_86.7_50,2008,1,3,Sample,NA
Miu.3.b.01.S249,MiFish,MiFish_2008_3_93.3_30_1_3,2008_3_93.3_30,2008,1,3,Sample,NA
Miu.3.b.02.S250,MiFish,MiFish_2008_3_93.3_60_1_3,2008_3_93.3_60,2008,1,3,Sample,NA
Seb.Rep.1.long.b.1.S46,Sebastes,Sebastes_2008_3_93.3_30_1_1,2008_3_93.3_30,2008,1,1,Sample,NA
Seb.Rep.2.b.1.S140,Sebastes,Sebastes_2008_3_93.3_30_1_2,2008_3_93.3_30,2008,1,2,Sample,NA
Seb.Rep.3.b.1.S234,Sebastes,Sebastes_2008_3_93.3_30_1_3,2008_3_93.3_30,2008,1,3,Sample,NA
Seb.Rep.1.long.b.2.S47,Sebastes,Sebastes_2008_3_93.3_60_1_1,2008_3_93.3_60,2008,1,1,Sample,NA
Seb.Rep.2.b.2.S141,Sebastes,Sebastes_2008_3_93.3_60_1_2,2008_3_93.3_60,2008,1,2,Sample,NA
Seb.Rep.3.b.2.S235,Sebastes,Sebastes_2008_3_93.3_60_1_3,2008_3_93.3_60,2008,1,3,Sample,NA
Seb.Rep.1.long.46.S43,Sebastes,Sebastes_2008_4_86.7_50_1_1,2008_4_86.7_50,2008,1,1,Sample,NA
Seb.Rep.2.a.46.S137,Sebastes,Sebastes_2008_4_86.7_50_1_2,2008_4_86.7_50,2008,1,2,Sample,NA
Seb.Rep.3.a.46.S231,Sebastes,Sebastes_2008_4_86.7_50_1_3,2008_4_86.7_50,2008,1,3,Sample,NA
Miu.1.a.41.S41,MiFish,MiFish_2007_4_80_60_1_1,2007_4_80_60,2007,1,1,Sample,NA
Miu.1.a.42.S42,MiFish,MiFish_2007_4_80_60_2_1,2007_4_80_60,2007,2,1,Sample,NA
Miu.1.a.43.S43,MiFish,MiFish_2007_4_86.7_50_1_1,2007_4_86.7_50,2007,1,1,Sample,NA
Miu.1.a.44.S44,MiFish,MiFish_2007_3_93.3_30_1_1,2007_3_93.3_30,2007,1,1,Sample,NA
Miu.1.a.45.S45,MiFish,MiFish_2007_3_93.3_60_1_1,2007_3_93.3_60,2007,1,1,Sample,NA
Miu.2.a.41.S141,MiFish,MiFish_2007_4_80_60_1_2,2007_4_80_60,2007,1,2,Sample,NA
Miu.2.a.42.S142,MiFish,MiFish_2007_4_80_60_2_2,2007_4_80_60,2007,2,2,Sample,NA
Miu.2.a.43.S143,MiFish,MiFish_2007_4_86.7_50_1_2,2007_4_86.7_50,2007,1,2,Sample,NA
Miu.2.a.44.S144,MiFish,MiFish_2007_3_93.3_30_1_2,2007_3_93.3_30,2007,1,2,Sample,NA
Miu.2.a.45.S145,MiFish,MiFish_2007_3_93.3_60_1_2,2007_3_93.3_60,2007,1,2,Sample,NA
Miu.3.a.41.S241,MiFish,MiFish_2007_4_80_60_1_3,2007_4_80_60,2007,1,3,Sample,NA
Miu.3.a.42.S242,MiFish,MiFish_2007_4_80_60_2_3,2007_4_80_60,2007,2,3,Sample,NA
Miu.3.a.43.S243,MiFish,MiFish_2007_4_86.7_50_1_3,2007_4_86.7_50,2007,1,3,Sample,NA
Miu.3.a.44.S244,MiFish,MiFish_2007_3_93.3_30_1_3,2007_3_93.3_30,2007,1,3,Sample,NA
Miu.3.a.45.S245,MiFish,MiFish_2007_3_93.3_60_1_3,2007_3_93.3_60,2007,1,3,Sample,NA
Seb.Rep.1.long.44.S41,Sebastes,Sebastes_2007_3_93.3_30_1_1,2007_3_93.3_30,2007,1,1,Sample,NA
Seb.Rep.2.a.44.S135,Sebastes,Sebastes_2007_3_93.3_30_1_2,2007_3_93.3_30,2007,1,2,Sample,NA
Seb.Rep.3.a.44.S229,Sebastes,Sebastes_2007_3_93.3_30_1_3,2007_3_93.3_30,2007,1,3,Sample,NA
Seb.Rep.1.long.45.S42,Sebastes,Sebastes_2007_3_93.3_60_1_1,2007_3_93.3_60,2007,1,1,Sample,NA
Seb.Rep.2.a.45.S136,Sebastes,Sebastes_2007_3_93.3_60_1_2,2007_3_93.3_60,2007,1,2,Sample,NA
Seb.Rep.3.a.45.S230,Sebastes,Sebastes_2007_3_93.3_60_1_3,2007_3_93.3_60,2007,1,3,Sample,NA
Seb.Rep.1.long.41.S38,Sebastes,Sebastes_2007_4_80_60_1_1,2007_4_80_60,2007,1,1,Sample,NA
Seb.Rep.2.a.41.S132,Sebastes,Sebastes_2007_4_80_60_1_2,2007_4_80_60,2007,1,2,Sample,NA
Seb.Rep.3.a.41.S226,Sebastes,Sebastes_2007_4_80_60_1_3,2007_4_80_60,2007,1,3,Sample,NA
Seb.Rep.1.long.42.S39,Sebastes,Sebastes_2007_4_80_60_2_1,2007_4_80_60,2007,2,1,Sample,NA
Seb.Rep.2.a.42.S133,Sebastes,Sebastes_2007_4_80_60_2_2,2007_4_80_60,2007,2,2,Sample,NA
Seb.Rep.3.a.42.S227,Sebastes,Sebastes_2007_4_80_60_2_3,2007_4_80_60,2007,2,3,Sample,NA
Seb.Rep.1.long.43.S40,Sebastes,Sebastes_2007_4_86.7_50_1_1,2007_4_86.7_50,2007,1,1,Sample,NA
Seb.Rep.2.a.43.S134,Sebastes,Sebastes_2007_4_86.7_50_1_2,2007_4_86.7_50,2007,1,2,Sample,NA
Seb.Rep.3.a.43.S228,Sebastes,Sebastes_2007_4_86.7_50_1_3,2007_4_86.7_50,2007,1,3,Sample,NA
Miu.1.a.37.S37,MiFish,MiFish_2006_4_80_60_1_1,2006_4_80_60,2006,1,1,Sample,NA
Miu.1.a.38.S38,MiFish,MiFish_2006_4_86.7_50_1_1,2006_4_86.7_50,2006,1,1,Sample,NA
Miu.1.a.39.S39,MiFish,MiFish_2006_4_93.3_30_1_1,2006_4_93.3_30,2006,1,1,Sample,NA
Miu.1.a.40.S40,MiFish,MiFish_2006_4_93.3_60_1_1,2006_4_93.3_60,2006,1,1,Sample,NA
Miu.2.a.37.S137,MiFish,MiFish_2006_4_80_60_1_2,2006_4_80_60,2006,1,2,Sample,NA
Miu.2.a.38.S138,MiFish,MiFish_2006_4_86.7_50_1_2,2006_4_86.7_50,2006,1,2,Sample,NA
Miu.2.a.39.S139,MiFish,MiFish_2006_4_93.3_30_1_2,2006_4_93.3_30,2006,1,2,Sample,NA
Miu.2.a.40.S140,MiFish,MiFish_2006_4_93.3_60_1_2,2006_4_93.3_60,2006,1,2,Sample,NA
Miu.3.a.37.S237,MiFish,MiFish_2006_4_80_60_1_3,2006_4_80_60,2006,1,3,Sample,NA
Miu.3.a.38.S238,MiFish,MiFish_2006_4_86.7_50_1_3,2006_4_86.7_50,2006,1,3,Sample,NA
Miu.3.a.39.S239,MiFish,MiFish_2006_4_93.3_30_1_3,2006_4_93.3_30,2006,1,3,Sample,NA
Miu.3.a.40.S240,MiFish,MiFish_2006_4_93.3_60_1_3,2006_4_93.3_60,2006,1,3,Sample,NA
Seb.Redo.3.HM.2.S35,Sebastes,Sebastes_2006_4_80_60_1_1,2006_4_80_60,2006,1,1,Sample,NA
Seb.Rep.2.a.37.S129,Sebastes,Sebastes_2006_4_80_60_1_2,2006_4_80_60,2006,1,2,Sample,NA
Seb.Rep.3.a.37.S223,Sebastes,Sebastes_2006_4_80_60_1_3,2006_4_80_60,2006,1,3,Sample,NA
Seb.Rep.1.long.38.S36,Sebastes,Sebastes_2006_4_86.7_50_1_1,2006_4_86.7_50,2006,1,1,Sample,NA
Seb.Rep.2.a.38.S130,Sebastes,Sebastes_2006_4_86.7_50_1_2,2006_4_86.7_50,2006,1,2,Sample,NA
Seb.Rep.3.a.38.S224,Sebastes,Sebastes_2006_4_86.7_50_1_3,2006_4_86.7_50,2006,1,3,Sample,NA
Seb.Rep.1.long.39.S37,Sebastes,Sebastes_2006_4_93.3_30_1_1,2006_4_93.3_30,2006,1,1,Sample,NA
Seb.Rep.2.a.39.S131,Sebastes,Sebastes_2006_4_93.3_30_1_2,2006_4_93.3_30,2006,1,2,Sample,NA
Seb.Rep.3.a.39.S225,Sebastes,Sebastes_2006_4_93.3_30_1_3,2006_4_93.3_30,2006,1,3,Sample,NA
Miu.1.a.33.S33,MiFish,MiFish_2005_4_80_60_1_1,2005_4_80_60,2005,1,1,Sample,NA
Miu.1.a.34.S34,MiFish,MiFish_2005_4_86.7_50_1_1,2005_4_86.7_50,2005,1,1,Sample,NA
Miu.1.a.35.S35,MiFish,MiFish_2005_4_93.3_30_1_1,2005_4_93.3_30,2005,1,1,Sample,NA
Miu.1.a.36.S36,MiFish,MiFish_2005_4_93.3_60_1_1,2005_4_93.3_60,2005,1,1,Sample,NA
Miu.2.a.33.S133,MiFish,MiFish_2005_4_80_60_1_2,2005_4_80_60,2005,1,2,Sample,NA
Miu.2.a.34.S134,MiFish,MiFish_2005_4_86.7_50_1_2,2005_4_86.7_50,2005,1,2,Sample,NA
Miu.2.a.35.S135,MiFish,MiFish_2005_4_93.3_30_1_2,2005_4_93.3_30,2005,1,2,Sample,NA
Miu.2.a.36.S136,MiFish,MiFish_2005_4_93.3_60_1_2,2005_4_93.3_60,2005,1,2,Sample,NA
Miu.3.a.33.S233,MiFish,MiFish_2005_4_80_60_1_3,2005_4_80_60,2005,1,3,Sample,NA
Miu.3.a.34.S234,MiFish,MiFish_2005_4_86.7_50_1_3,2005_4_86.7_50,2005,1,3,Sample,NA
Miu.3.a.35.S235,MiFish,MiFish_2005_4_93.3_30_1_3,2005_4_93.3_30,2005,1,3,Sample,NA
Miu.3.a.36.S236,MiFish,MiFish_2005_4_93.3_60_1_3,2005_4_93.3_60,2005,1,3,Sample,NA
Seb.Rep.1.long.33.S31,Sebastes,Sebastes_2005_4_80_60_1_1,2005_4_80_60,2005,1,1,Sample,NA
Seb.Rep.2.a.33.S125,Sebastes,Sebastes_2005_4_80_60_1_2,2005_4_80_60,2005,1,2,Sample,NA
Seb.Rep.3.a.33.S219,Sebastes,Sebastes_2005_4_80_60_1_3,2005_4_80_60,2005,1,3,Sample,NA
Seb.Rep.1.long.34.S32,Sebastes,Sebastes_2005_4_86.7_50_1_1,2005_4_86.7_50,2005,1,1,Sample,NA
Seb.Rep.2.a.34.S126,Sebastes,Sebastes_2005_4_86.7_50_1_2,2005_4_86.7_50,2005,1,2,Sample,NA
Seb.Rep.3.a.34.S220,Sebastes,Sebastes_2005_4_86.7_50_1_3,2005_4_86.7_50,2005,1,3,Sample,NA
Seb.Rep.1.long.35.S33,Sebastes,Sebastes_2005_4_93.3_30_1_1,2005_4_93.3_30,2005,1,1,Sample,NA
Seb.Rep.2.a.35.S127,Sebastes,Sebastes_2005_4_93.3_30_1_2,2005_4_93.3_30,2005,1,2,Sample,NA
Seb.Rep.3.a.35.S221,Sebastes,Sebastes_2005_4_93.3_30_1_3,2005_4_93.3_30,2005,1,3,Sample,NA
Seb.Redo.3.HM.1.S34,Sebastes,Sebastes_2005_4_93.3_60_1_1,2005_4_93.3_60,2005,1,1,Sample,NA
Seb.Rep.2.a.36.S128,Sebastes,Sebastes_2005_4_93.3_60_1_2,2005_4_93.3_60,2005,1,2,Sample,NA
Seb.Rep.3.a.36.S222,Sebastes,Sebastes_2005_4_93.3_60_1_3,2005_4_93.3_60,2005,1,3,Sample,NA
Miu.1.a.29.S29,MiFish,MiFish_2004_4_80_60_1_1,2004_4_80_60,2004,1,1,Sample,NA
Miu.1.a.30.S30,MiFish,MiFish_2004_3_86.7_50_1_1,2004_3_86.7_50,2004,1,1,Sample,NA
Miu.1.a.31.S31,MiFish,MiFish_2004_3_93.3_30_1_1,2004_3_93.3_30,2004,1,1,Sample,NA
Miu.1.a.32.S32,MiFish,MiFish_2004_3_93.3_60_1_1,2004_3_93.3_60,2004,1,1,Sample,NA
Miu.2.a.29.S129,MiFish,MiFish_2004_4_80_60_1_2,2004_4_80_60,2004,1,2,Sample,NA
Miu.2.a.30.S130,MiFish,MiFish_2004_3_86.7_50_1_2,2004_3_86.7_50,2004,1,2,Sample,NA
Miu.2.a.31.S131,MiFish,MiFish_2004_3_93.3_30_1_2,2004_3_93.3_30,2004,1,2,Sample,NA
Miu.2.a.32.S132,MiFish,MiFish_2004_3_93.3_60_1_2,2004_3_93.3_60,2004,1,2,Sample,NA
Miu.3.a.29.S229,MiFish,MiFish_2004_4_80_60_1_3,2004_4_80_60,2004,1,3,Sample,NA
Miu.3.a.30.S230,MiFish,MiFish_2004_3_86.7_50_1_3,2004_3_86.7_50,2004,1,3,Sample,NA
Miu.3.a.31.S231,MiFish,MiFish_2004_3_93.3_30_1_3,2004_3_93.3_30,2004,1,3,Sample,NA
Miu.3.a.32.S232,MiFish,MiFish_2004_3_93.3_60_1_3,2004_3_93.3_60,2004,1,3,Sample,NA
Seb.Rep.1.long.30.S28,Sebastes,Sebastes_2004_3_86.7_50_1_1,2004_3_86.7_50,2004,1,1,Sample,NA
Seb.Rep.2.a.30.S122,Sebastes,Sebastes_2004_3_86.7_50_1_2,2004_3_86.7_50,2004,1,2,Sample,NA
Seb.Rep.3.a.30.S216,Sebastes,Sebastes_2004_3_86.7_50_1_3,2004_3_86.7_50,2004,1,3,Sample,NA
Seb.Rep.1.long.31.S29,Sebastes,Sebastes_2004_3_93.3_30_1_1,2004_3_93.3_30,2004,1,1,Sample,NA
Seb.Rep.2.a.31.S123,Sebastes,Sebastes_2004_3_93.3_30_1_2,2004_3_93.3_30,2004,1,2,Sample,NA
Seb.Rep.3.a.31.S217,Sebastes,Sebastes_2004_3_93.3_30_1_3,2004_3_93.3_30,2004,1,3,Sample,NA
Seb.Rep.1.long.32.S30,Sebastes,Sebastes_2004_3_93.3_60_1_1,2004_3_93.3_60,2004,1,1,Sample,NA
Seb.Rep.2.a.32.S124,Sebastes,Sebastes_2004_3_93.3_60_1_2,2004_3_93.3_60,2004,1,2,Sample,NA
Seb.Rep.3.a.32.S218,Sebastes,Sebastes_2004_3_93.3_60_1_3,2004_3_93.3_60,2004,1,3,Sample,NA
Seb.Rep.1.long.29.S27,Sebastes,Sebastes_2004_4_80_60_1_1,2004_4_80_60,2004,1,1,Sample,NA
Seb.Rep.2.a.29.S121,Sebastes,Sebastes_2004_4_80_60_1_2,2004_4_80_60,2004,1,2,Sample,NA
Seb.Rep.3.a.29.S215,Sebastes,Sebastes_2004_4_80_60_1_3,2004_4_80_60,2004,1,3,Sample,NA
Miu.1.a.25.S25,MiFish,MiFish_2003_4_80_60_1_1,2003_4_80_60,2003,1,1,Sample,NA
Miu.1.a.26.S26,MiFish,MiFish_2003_4_86.7_50_1_1,2003_4_86.7_50,2003,1,1,Sample,NA
Miu.1.a.27.S27,MiFish,MiFish_2003_4_93.3_30_1_1,2003_4_93.3_30,2003,1,1,Sample,NA
Miu.1.a.28.S28,MiFish,MiFish_2003_4_93.3_60_1_1,2003_4_93.3_60,2003,1,1,Sample,NA
Miu.2.a.25.S125,MiFish,MiFish_2003_4_80_60_1_2,2003_4_80_60,2003,1,2,Sample,NA
Miu.2.a.26.S126,MiFish,MiFish_2003_4_86.7_50_1_2,2003_4_86.7_50,2003,1,2,Sample,NA
Miu.2.a.27.S127,MiFish,MiFish_2003_4_93.3_30_1_2,2003_4_93.3_30,2003,1,2,Sample,NA
Miu.2.a.28.S128,MiFish,MiFish_2003_4_93.3_60_1_2,2003_4_93.3_60,2003,1,2,Sample,NA
Miu.3.a.25.S225,MiFish,MiFish_2003_4_80_60_1_3,2003_4_80_60,2003,1,3,Sample,NA
Miu.3.a.26.S226,MiFish,MiFish_2003_4_86.7_50_1_3,2003_4_86.7_50,2003,1,3,Sample,NA
Miu.3.a.27.S227,MiFish,MiFish_2003_4_93.3_30_1_3,2003_4_93.3_30,2003,1,3,Sample,NA
Miu.3.a.28.S228,MiFish,MiFish_2003_4_93.3_60_1_3,2003_4_93.3_60,2003,1,3,Sample,NA
Seb.Rep.1.long.25.S23,Sebastes,Sebastes_2003_4_80_60_1_1,2003_4_80_60,2003,1,1,Sample,NA
Seb.Rep.2.a.25.S117,Sebastes,Sebastes_2003_4_80_60_1_2,2003_4_80_60,2003,1,2,Sample,NA
Seb.Rep.3.a.25.S211,Sebastes,Sebastes_2003_4_80_60_1_3,2003_4_80_60,2003,1,3,Sample,NA
Seb.Rep.1.long.26.S24,Sebastes,Sebastes_2003_4_86.7_50_1_1,2003_4_86.7_50,2003,1,1,Sample,NA
Seb.Rep.2.a.26.S118,Sebastes,Sebastes_2003_4_86.7_50_1_2,2003_4_86.7_50,2003,1,2,Sample,NA
Seb.Rep.3.a.26.S212,Sebastes,Sebastes_2003_4_86.7_50_1_3,2003_4_86.7_50,2003,1,3,Sample,NA
